# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1415219280;0.37;3783.00
axle;60;1415219340;0.00;870.32
axle;60;1415219400;0.00;655.97
axle;60;1415219460;0.50;0.00
axle;60;1415219520;0.00;114.43
axle;60;1415219580;0.00;157.27
axle;60;1415219640;0.00;182.82
axle;60;1415219700;0.00;266.70
axle;60;1415219760;0.52;0.00
axle;60;1415219820;0.00;0.00
axle;60;1415219880;0.00;0.00
axle;60;1415219940;0.00;343.04
axle;60;1415220000;0.00;0.00
axle;60;1415220060;0.00;9.18
axle;60;1415220120;0.00;127.37
axle;60;1415220180;0.00;0.00
axle;60;1415220240;0.00;42.72
axle;60;1415220300;0.00;13.10
axle;60;1415220360;0.00;0.00
axle;60;1415220420;0.00;0.00
axle;60;1415220480;0.00;0.00
axle;60;1415220540;0.00;78.87
axle;60;1415220600;0.00;209.62
axle;60;1415220660;0.00;246.53
axle;60;1415220720;0.00;43.18
axle;60;1415220780;0.00;104.25
axle;60;1415220840;0.00;112.65
axle;60;1415220900;0.00;2.00
axle;60;1415220960;0.00;154.90
axle;60;1415221020;0.00;504.15
axle;60;1415221080;0.00;26.53
axle;60;1415221140;0.00;0.00
axle;60;1415221200;0.00;0.00
axle;60;1415221260;0.00;0.00
axle;60;1415221320;0.00;0.00
axle;60;1415221380;0.00;0.00
